KM;Z_1;time
12.9;237.2491455;2022-07-07T15:11:50Z
13;235.0294342;2022-07-07T15:11:55Z
13.1;220.192276;2022-07-07T15:12:00Z
13.2;215.9715881;2022-07-07T15:12:05Z
13.3;213.3734894;2022-07-07T15:12:10Z
13.4;213.0769348;2022-07-07T15:12:15Z
13.5;215.7891235;2022-07-07T15:12:20Z
13.6;223.6054077;2022-07-07T15:12:25Z
13.7;223.7640076;2022-07-07T15:12:30Z
13.8;232.7006531;2022-07-07T15:12:35Z
13.9;238.3761444;2022-07-07T15:12:40Z
14;239.7607269;2022-07-07T15:12:45Z
14.1;242.872345;
14.2;234.7911072;
14.3;230.7516632;
14.4;221.786911;
14.5;216.2071838;
14.6;223.1909485;
14.7;213.8495636;
14.8;215.5154724;
14.9;221.2171478;
15;213.9255066;
15.1;204.7391815;
15.2;195.0547943;
15.3;195.6008453;
15.4;199.2554779;
15.5;193.5311584;
15.6;185.590332;
15.7;181.0036926;
15.8;172.8566589;
15.9;176.7940674;
16;169.1611938;
16.1;171.825943;
16.2;172.3399658;
16.3;182.6149445;
16.4;177.0330811;
16.5;183.7750244;
16.6;183.3363495;
16.7;189.1035309;
16.8;185.6923523;
16.9;168.3690033;
17;175.1840973;
17.1;181.5888977;
17.2;168.5341644;
17.3;171.4210815;
17.4;162.9172058;
17.5;160.6852417;
17.6;148.3035583;
17.7;146.3203125;
17.8;146.5959778;
17.9;150.1356354;
18;148.4117126;
18.1;161.379715;
18.2;154.9411621;
18.3;140.0449219;
18.4;135.4814453;
18.5;135.6030273;
18.6;136.8183899;
18.7;124.1946869;
18.8;128.5782013;
18.9;116.9125519;
19;106.9411697;
19.1;99.05883789;
19.2;88.11096954;
19.3;74.67623901;
19.4;78.32512665;
19.5;74.7645874;
19.6;82.24736786;
19.7;78.16931915;
19.8;80.45476532;
19.9;76.90952301;
20;75.76945496;
20.1;71.65356445;
20.2;61.06785202;
20.3;73.19024658;
20.4;56.0177536;
20.5;63.29625702;
20.6;63.24911118;
20.7;64.01384735;
20.8;62.16840744;
20.9;56.46495056;
21;56.32717896;
21.1;53.5222168;
21.2;41.40571976;
21.3;33.67163849;
21.4;35.53880692;
21.5;16.88232231;
21.6;14.55758381;
21.7;15.15600014;
21.8;10.9250145;
21.9;9.95743084;
